time, x, y, z, lightStrength, temp, humidity 
2300,0.35,10.16,-0.51,359.00,25.00,46.00, 
2350,0.39,10.20,-0.51,377.00,25.00,46.00, 
2400,0.35,10.20,-0.51,354.00,25.00,46.00, 
2450,0.31,10.20,-0.55,373.00,25.00,46.00, 
2500,0.39,10.43,-0.59,377.00,25.00,46.00, 
2550,0.39,10.12,-0.51,381.00,25.10,45.00, 
2600,0.31,10.00,-0.51,386.00,25.10,45.00, 
2650,0.43,10.16,-0.55,386.00,25.10,45.00, 
2700,0.39,10.16,-0.59,388.00,25.10,45.00, 
2750,0.24,10.16,-0.55,360.00,25.10,45.00, 
2800,0.35,10.20,-0.59,384.00,25.10,45.00, 
2850,0.35,10.20,-0.39,365.00,25.10,45.00, 
2900,0.31,10.20,-0.51,374.00,25.10,45.00, 
2950,0.35,10.16,-0.55,377.00,25.10,45.00, 
3000,0.31,10.20,-0.55,377.00,25.10,45.00, 
3050,0.43,10.20,-0.55,390.00,25.10,45.00, 
3100,0.31,10.24,-0.55,371.00,25.10,45.00, 
3150,0.31,10.24,-0.55,375.00,25.10,45.00, 
3200,0.35,10.28,-0.55,383.00,25.10,45.00, 
3250,0.35,10.28,-0.59,383.00,25.10,45.00, 
3300,0.27,10.24,-0.55,391.00,25.10,45.00, 
3350,0.39,10.28,-0.47,388.00,25.10,45.00, 
3400,0.35,10.28,-0.47,364.00,25.10,45.00, 
3450,0.31,10.24,-0.59,385.00,25.10,45.00, 
3500,0.27,10.24,-0.51,394.00,25.10,45.00, 
3550,0.31,10.24,-0.43,402.00,25.10,45.00, 
3600,0.35,10.16,-0.51,392.00,25.10,45.00, 
3650,0.27,10.16,-0.51,398.00,25.10,45.00, 
3700,0.35,10.16,-0.51,376.00,25.10,45.00, 
3750,0.35,10.16,-0.47,330.00,25.10,45.00, 
3800,0.39,10.16,-0.55,372.00,25.10,45.00, 
3850,0.35,10.16,-0.47,365.00,25.10,45.00, 
3900,0.31,10.12,-0.55,371.00,25.10,45.00, 
3950,0.31,10.12,-0.51,351.00,25.10,45.00, 
4000,0.31,10.16,-0.51,369.00,25.10,45.00, 
4050,0.31,10.08,-0.51,371.00,25.10,45.00, 
4100,0.35,10.12,-0.55,384.00,25.10,45.00, 
4150,0.39,10.08,-0.43,367.00,25.10,45.00, 
4200,0.31,10.12,-0.47,372.00,25.10,45.00, 
4250,0.35,10.12,-0.51,360.00,25.10,45.00, 
4300,0.35,10.12,-0.47,379.00,25.10,45.00, 
4350,0.27,10.04,-0.55,379.00,25.10,45.00, 
4400,0.35,10.08,-0.55,378.00,25.10,45.00, 
4450,0.35,10.12,-0.51,362.00,25.10,45.00, 
4500,0.39,10.08,-0.51,385.00,25.10,45.00, 
4550,0.39,10.04,-0.51,384.00,25.10,45.00, 
4600,0.31,10.04,-0.51,360.00,25.10,45.00, 
4650,0.31,10.08,-0.51,373.00,25.10,45.00, 
4700,0.35,10.08,-0.55,392.00,25.10,45.00, 
4750,0.27,10.08,-0.51,390.00,25.10,45.00, 
4800,0.27,10.08,-0.51,396.00,25.10,45.00, 
4850,0.43,10.08,-0.51,399.00,25.10,45.00, 
4900,0.31,10.04,-0.47,393.00,25.10,45.00, 
4950,0.31,10.04,-0.59,388.00,25.10,45.00, 
5000,0.27,10.04,-0.51,386.00,25.10,45.00, 
5050,0.31,10.08,-0.51,393.00,25.10,61.00, 
5100,0.31,10.08,-0.51,389.00,25.10,61.00, 
5150,0.35,10.08,-0.55,395.00,25.10,61.00, 
5200,0.39,10.04,-0.55,366.00,25.10,61.00, 
5250,0.31,10.04,-0.55,387.00,25.10,61.00, 
5300,0.27,10.12,-0.51,393.00,25.10,61.00, 
5350,0.39,10.12,-0.51,391.00,25.10,61.00, 
5400,0.35,10.04,-0.51,388.00,25.10,61.00, 
5450,0.31,10.08,-0.47,359.00,25.10,61.00, 
5500,0.27,10.04,-0.51,347.00,25.10,61.00, 
5550,0.35,10.08,-0.51,366.00,25.10,61.00, 
5600,0.31,10.12,-0.51,349.00,25.10,61.00, 
5650,0.35,10.04,-0.51,366.00,25.10,61.00, 
5700,0.31,10.08,-0.47,375.00,25.10,61.00, 
5750,0.31,10.08,-0.47,352.00,25.10,61.00, 
5800,0.31,10.08,-0.43,378.00,25.10,61.00, 
5850,0.27,10.08,-0.51,361.00,25.10,61.00, 
5900,0.35,10.08,-0.55,381.00,25.10,61.00, 
5950,0.35,10.08,-0.51,388.00,25.10,61.00, 
6000,0.31,10.04,-0.55,386.00,25.10,61.00, 
6050,0.35,10.08,-0.55,365.00,25.10,61.00, 
6100,0.39,10.08,-0.51,351.00,25.10,61.00, 
6150,0.31,10.08,-0.51,338.00,25.10,61.00, 
6200,0.31,10.12,-0.51,310.00,25.10,61.00, 
6250,0.39,10.08,-0.47,351.00,25.10,61.00, 
6300,0.27,10.08,-0.51,366.00,25.30,63.00, 
6350,0.31,10.08,-0.51,381.00,25.30,63.00, 
6400,0.27,10.04,-0.55,381.00,25.30,63.00, 
6450,0.31,10.00,-0.47,380.00,25.30,63.00, 
6500,0.39,10.12,-0.51,360.00,25.30,63.00, 
6550,0.35,10.12,-0.47,352.00,25.30,63.00, 
6600,0.27,10.12,-0.47,364.00,25.30,63.00, 
6650,0.27,10.04,-0.55,320.00,25.30,63.00, 
6700,0.35,10.08,-0.51,328.00,25.30,63.00, 
6750,0.39,10.08,-0.51,358.00,25.30,63.00, 
6800,0.35,10.04,-0.47,375.00,25.30,63.00, 
6850,0.35,10.08,-0.51,385.00,25.30,63.00, 
6900,0.27,10.08,-0.55,390.00,25.30,63.00, 
6950,0.31,10.12,-0.51,394.00,25.30,63.00, 
7000,0.31,10.08,-0.47,391.00,25.30,63.00, 
7050,0.35,10.08,-0.55,393.00,25.30,63.00, 
7100,0.35,10.08,-0.51,396.00,25.30,63.00, 
7150,0.35,10.12,-0.51,390.00,25.30,63.00, 
7200,0.35,10.08,-0.55,370.00,25.30,63.00, 
7250,0.31,10.16,-0.55,378.00,25.30,63.00, 
7300,0.43,10.08,-0.47,392.00,25.30,63.00, 
7350,0.24,10.08,-0.51,398.00,25.30,63.00, 
7400,0.31,10.08,-0.47,393.00,25.30,63.00, 
7450,0.35,10.08,-0.43,396.00,25.30,63.00, 
7500,0.35,10.08,-0.51,367.00,25.30,63.00, 
7550,0.31,10.12,-0.51,388.00,25.40,65.00, 
7600,0.35,10.08,-0.51,388.00,25.40,65.00, 
7650,0.35,10.04,-0.51,335.00,25.40,65.00, 
7700,0.31,10.12,-0.47,355.00,25.40,65.00, 
7750,0.35,10.12,-0.55,368.00,25.40,65.00, 
7800,0.31,10.12,-0.51,344.00,25.40,65.00, 
7850,0.31,10.12,-0.55,312.00,25.40,65.00, 
7900,0.35,10.08,-0.55,319.00,25.40,65.00, 
7950,0.31,10.08,-0.55,355.00,25.40,65.00, 
8000,0.35,10.08,-0.47,373.00,25.40,65.00, 
8050,0.35,10.08,-0.47,382.00,25.40,65.00, 
8100,0.27,10.12,-0.51,361.00,25.40,65.00, 
8150,0.35,10.12,-0.55,369.00,25.40,65.00, 
8200,0.31,10.12,-0.51,385.00,25.40,65.00, 
8250,0.35,10.12,-0.51,357.00,25.40,65.00, 
8300,0.35,10.12,-0.51,379.00,25.40,65.00, 
8350,0.31,10.04,-0.51,353.00,25.40,65.00, 
8400,0.27,10.12,-0.51,374.00,25.40,65.00, 
8450,0.39,10.36,-0.67,384.00,25.40,65.00, 
8500,0.35,9.96,-0.47,392.00,25.40,65.00, 
8550,0.35,10.12,-0.51,384.00,25.40,65.00, 
8600,0.31,10.16,-0.59,327.00,25.40,65.00, 
8650,0.31,10.12,-0.51,364.00,25.40,65.00, 
8700,0.35,10.00,-0.39,374.00,25.40,65.00, 
8750,0.31,10.12,-0.55,387.00,25.40,65.00, 
8800,0.35,10.12,-0.51,390.00,25.40,67.00, 
8850,0.12,10.16,-0.82,327.00,25.40,67.00, 
8900,0.35,10.04,-0.63,364.00,25.40,67.00, 
8950,0.39,10.04,-0.59,394.00,25.40,67.00, 
9000,0.27,10.04,-0.63,323.00,25.40,67.00, 
9050,0.31,10.12,-0.86,347.00,25.40,67.00, 
9100,0.39,10.08,-0.51,351.00,25.40,67.00, 
9150,0.27,10.16,-0.55,375.00,25.40,67.00, 
